date,n2_1,n2_2,n2_3,n2_4,n2_5,n2_6,cra_1,cra_2,cra_3,cra_4,site
2021-01-14,NA,37679.1112,227660.3032,NA,NA,NA,114153680,292492967.9,NA,NA,site_2
2021-01-19,12491.3481,11177.7381,10802.0484,12175.1257,12491.3481,10710.1158,NA,NA,NA,NA,site_2
2021-01-21,12815.7837,20860.584,14200.0084,38599.9766,26500.931,43506.523,119946238,119152947,NA,NA,site_2
2021-01-25,50742.2266,49882.2019,44636.5102,17433.1337,14568.8227,14568.8227,NA,NA,NA,NA,site_2
2021-01-27,11866.9086,24749.4477,17885.9214,9666.0879,13148.6458,11866.9086,87809184.8,86078444.85,NA,NA,site_2
2021-02-01,13722.7386,18194.2946,19481.879,29869.54,30384.52,22336.86,28420152.28,28045469.31,NA,NA,site_2
2021-02-03,5313.908,13959.33,16005.01,11468.06,14321.9,18666.85,143000000,137000000,NA,NA,site_2
2021-02-08,6926.0336,10710.1158,12175.1257,14693.8773,8009.175,3973.8153,33996655.9,32453630.6,NA,NA,site_2
2021-02-10,28376.3643,31711.1604,26500.931,3807.5702,3075.0282,2260.5744,121548.7,129028.878,NA,NA,site_2
2021-02-15,9182.882,4440.819,3939.996,15868.8,16991.81,19987.88,13606351.13,13249951.75,NA,NA,site_2
2021-02-17,15204.9228,33955.3142,22336.8579,24329.9719,16991.8084,19316.0753,21507450.7,NA,NA,NA,site_2
2021-02-22,21402.3923,23312.124,24961.89,42769.1354,39942.4639,33095.7248,NA,NA,NA,NA,site_2
2021-02-25,16142.39,25392.26,29363.28,10174.72,5048.267,9832.742,9764488,14443694,NA,NA,site_2
2021-03-01,8077.9235,11968.7708,13959.3339,15467.0726,12815.7837,17284.7661,22530034,23758367.9,NA,NA,site_2
2021-03-03,16280.9536,16420.7047,17582.7747,22917.0092,11082.6081,15599.8376,11003292.4,10715076.5,NA,NA,site_2
2021-03-08,59181.3224,59689.3182,48205.6347,NA,NA,NA,14832202.7,15030358.5,NA,NA,site_2
2021-03-10,43136.2536,43136.2536,38599.9766,NA,NA,NA,NA,NA,NA,NA,site_2
2021-03-15,26728.41,35742.05,23917.61,64462.06,53412.29,53870.77,4176124,4121067,NA,NA,site_2
